the_geom,borocode,boroname,borocd,coundist,assemdist,stsendist,congdist,location,borough,date_insta,point_x,point_y,femafldz,femafldt,ntaname,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,hrcevac,:@computed_region_efsh_h5xi
"{'type': 'Point', 'coordinates': [-73.73116363951053, 40.71614073372515]}",4,Queens,413,27,33,14,5,99 Avenue and 222 Street,Queens,2023-11-15T00:00:00.000,-73.731165,40.716149,X,AREA OF MINIMAL FLOOD HAZARD,Queens Village,63,3,6,63,,24338
"{'type': 'Point', 'coordinates': [-73.75114763089167, 40.75031172727945]}",4,Queens,411,23,26,11,6,Horace Harding Expressway E/B and Cloverdale Boulevard,Queens,2019-12-10T00:00:00.000,-73.751149,40.75032,X,AREA OF MINIMAL FLOOD HAZARD,Oakland Gardens-Hollis Hills,26,3,16,69,,14506
"{'type': 'Point', 'coordinates': [-73.82794859996224, 40.84862071074395]}",2,Bronx,210,13,82,34,14,Bruckner Boulevard with Buhre Avenue and Willow Lane,Bronx,2023-07-17T00:00:00.000,-73.82795,40.848629,X,AREA OF MINIMAL FLOOD HAZARD,Pelham Bay Park,43,5,12,28,5,11270
"{'type': 'Point', 'coordinates': [-73.97879655655281, 40.77740173008703]}",1,Manhattan,107,6,67,47,12,Columbus Avenue and West  72 Street,Manhattan,2020-06-16T00:00:00.000,-73.978798,40.77741,X,AREA OF MINIMAL FLOOD HAZARD,Upper West Side-Lincoln Square,20,4,19,12,,12420
"{'type': 'Point', 'coordinates': [-73.92707256872595, 40.83861271591]}",2,Bronx,204,16,77,29,15,University Avenue and West 168 Street,Bronx,2026-05-26T00:00:00.000,-73.927074,40.838621,X,AREA OF MINIMAL FLOOD HAZARD,Highbridge,50,5,42,27,,10930
"{'type': 'Point', 'coordinates': [-74.15295151382105, 40.56678677736921]}",5,Staten Island,503,51,62,24,11,Arthur Kill Road and Corbin Avenue,Staten Island,2023-04-06T00:00:00.000,-74.152953,40.566795,X,AREA OF MINIMAL FLOOD HAZARD,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,15,1,9,75,1,10695
"{'type': 'Point', 'coordinates': [-73.75682263385897, 40.66749374401387]}",4,Queens,413,31,29,14,5,Springfield Boulevard and 143 Road,Queens,2023-05-19T00:00:00.000,-73.756824,40.667502,X,AREA OF MINIMAL FLOOD HAZARD,Laurelton,63,3,47,63,5,15313
"{'type': 'Point', 'coordinates': [-74.142765512103, 40.63378976375564]}",5,Staten Island,501,49,61,23,11,Innis Street and Trantor Place,Staten Island,2019-10-23T00:00:00.000,-74.142767,40.633798,X,AREA OF MINIMAL FLOOD HAZARD,Port Richmond,4,1,13,75,6,10370
"{'type': 'Point', 'coordinates': [-74.00603755087883, 40.72439474145196]}",1,Manhattan,102,1,66,27,10,Varick Street and Broome Street,Manhattan,2024-04-08T00:00:00.000,-74.006039,40.724403,X,AREA OF MINIMAL FLOOD HAZARD,SoHo-Little Italy-Hudson Square,57,4,10,1,2,12076
"{'type': 'Point', 'coordinates': [-73.82607061007121, 40.702763739602446]}",4,Queens,409,29,24,15,5,Hillside Avenue and 125 Street,Queens,2024-10-04T00:00:00.000,-73.826072,40.702772,X,AREA OF MINIMAL FLOOD HAZARD,Richmond Hill,46,3,28,60,,24011
"{'type': 'Point', 'coordinates': [-73.898214579371, 40.81308971988766]}",2,Bronx,202,17,84,32,14,Bruckner Boulevard and Leggett Avenue,Bronx,2023-08-21T00:00:00.000,-73.898216,40.813098,X,AREA OF MINIMAL FLOOD HAZARD,Hunts Point,8,5,43,24,6,10933
"{'type': 'Point', 'coordinates': [-74.10755652748591, 40.58072077304781]}",5,Staten Island,502,50,64,24,11,Midland Avenue and North Railroad Avenue,Staten Island,2023-06-30T00:00:00.000,-74.107558,40.580729,X,AREA OF MINIMAL FLOOD HAZARD,New Dorp-Midland Beach,30,1,14,76,5,10693
"{'type': 'Point', 'coordinates': [-73.86536359472504, 40.7477067321166]}",4,Queens,404,21,39,13,14,41 Avenue and  99 Street,Queens,2023-06-23T00:00:00.000,-73.865365,40.747715,X,AREA OF MINIMAL FLOOD HAZARD,Corona,66,3,21,68,,14510
"{'type': 'Point', 'coordinates': [-74.08821453117442, 40.61183276591937]}",5,Staten Island,501,49,61,23,11,Richmond Road and Stueben Street,Staten Island,2023-10-25T00:00:00.000,-74.088216,40.611841,X,AREA OF MINIMAL FLOOD HAZARD,Rosebank-Shore Acres-Park Hill,4,1,13,74,,10691
"{'type': 'Point', 'coordinates': [-74.23489549054727, 40.50617379253219]}",5,Staten Island,503,51,62,24,11,Hylan Boulevard and Joline Avenue,Staten Island,2026-03-10T00:00:00.000,-74.234897,40.506182,X,AREA OF MINIMAL FLOOD HAZARD,Tottenville-Charleston,15,1,9,77,5,10694
"{'type': 'Point', 'coordinates': [-73.95654356336739, 40.77817272923514]}",1,Manhattan,108,4,73,28,12,Lexington Avenue and East  84 Street,Manhattan,2025-04-16T00:00:00.000,-73.956545,40.778181,X,AREA OF MINIMAL FLOOD HAZARD,Upper East Side-Carnegie Hill,23,4,1,11,,12425
"{'type': 'Point', 'coordinates': [-73.93045456730307, 40.84868971433305]}",1,Manhattan,112,10,72,31,13,Amsterdam Avenue and West 182 Street,Manhattan,2022-07-22T00:00:00.000,-73.930456,40.848698,X,AREA OF MINIMAL FLOOD HAZARD,Washington Heights (North),47,4,39,22,,13091
"{'type': 'Point', 'coordinates': [-73.98718956391475, 40.597916765931544]}",3,Brooklyn,311,43,47,17,11,86 Street and  25 Avenue,Brooklyn,2024-12-18T00:00:00.000,-73.987191,40.597925,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Gravesend (West),1,2,45,37,2,17616
"{'type': 'Point', 'coordinates': [-73.87919358387157, 40.84531371325756]}",2,Bronx,206,15,87,32,15,Bronx Park South and Vyse Avenue,Bronx,2023-12-26T00:00:00.000,-73.879195,40.845322,X,AREA OF MINIMAL FLOOD HAZARD,West Farms,35,5,22,31,,11269
"{'type': 'Point', 'coordinates': [-73.8991715867683, 40.70050074186809]}",4,Queens,405,34,38,12,7,Myrtle Avenue with 71 Avenue and Stephen Street,Queens,2023-10-06T00:00:00.000,-73.899173,40.700509,X,AREA OF MINIMAL FLOOD HAZARD,Ridgewood,54,3,30,62,,15310
"{'type': 'Point', 'coordinates': [-73.85777259290637, 40.819852717031466]}",2,Bronx,209,18,87,34,14,White Plains Road and Seward Avenue,Bronx,2023-09-20T00:00:00.000,-73.857774,40.819861,X,AREA OF MINIMAL FLOOD HAZARD,Soundview-Clason Point,58,5,31,26,4,11611
"{'type': 'Point', 'coordinates': [-73.98122256255556, 40.655834754335224]}",3,Brooklyn,307,39,44,20,10,Prospect Expressway exit ramp with 19 Street and 10 Avenue,Brooklyn,2022-12-06T00:00:00.000,-73.981224,40.655843,X,AREA OF MINIMAL FLOOD HAZARD,Windsor Terrace-South Slope,9,2,7,45,,17617
"{'type': 'Point', 'coordinates': [-73.90010357794807, 40.83966871546404]}",2,Bronx,203,15,79,32,15,3rd Avenue and East 172 Street,Bronx,2024-03-12T00:00:00.000,-73.900105,40.839677,X,AREA OF MINIMAL FLOOD HAZARD,Claremont Village-Claremont (East),34,5,42,25,,10935
"{'type': 'Point', 'coordinates': [-73.72321364017645, 40.7545947251295]}",4,Queens,411,23,26,11,3,Little Neck Parkway and Grand Central Parkway North and 254 Street,Queens,2022-02-18T00:00:00.000,-73.723215,40.754603,X,AREA OF MINIMAL FLOOD HAZARD,Douglaston-Little Neck,26,3,16,69,,14197
"{'type': 'Point', 'coordinates': [-73.98309156016128, 40.68544274771475]}",3,Brooklyn,302,33,52,26,10,Nevins Street and Pacific Street,Brooklyn,2022-07-19T00:00:00.000,-73.983093,40.685451,X,AREA OF MINIMAL FLOOD HAZARD,Downtown Brooklyn-DUMBO-Boerum Hill,68,2,38,54,6,17619
"{'type': 'Point', 'coordinates': [-74.00583955125914, 40.71169874364835]}",1,Manhattan,101,1,66,27,10,Spruce Street and Nassau Street,Manhattan,2020-03-20T00:00:00.000,-74.005841,40.711707,X,AREA OF MINIMAL FLOOD HAZARD,Financial District-Battery Park City,56,4,32,1,5,11728
"{'type': 'Point', 'coordinates': [-73.93347557944567, 40.62565775845625]}",3,Brooklyn,318,45,41,21,9,Kings Highway and Avenue K,Brooklyn,2025-08-05T00:00:00.000,-73.933477,40.625666,X,AREA OF MINIMAL FLOOD HAZARD,Flatlands,5,2,26,38,4,13825
"{'type': 'Point', 'coordinates': [-73.9172565761119, 40.770761729133056]}",4,Queens,401,22,36,59,14,Hoyt Avenue North and  31 Street,Queens,2023-09-29T00:00:00.000,-73.917258,40.77077,X,AREA OF MINIMAL FLOOD HAZARD,Astoria (North)-Ditmars-Steinway,39,3,4,72,,16859
"{'type': 'Point', 'coordinates': [-73.7544466383409, 40.60720375588887]}",4,Queens,414,31,31,10,5,Beach Channel Drive and Birdsall Avenue,Queens,2025-08-28T00:00:00.000,-73.754448,40.607212,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Far Rockaway-Bayswater,51,3,47,59,1,20529
"{'type': 'Point', 'coordinates': [-73.94322457168523, 40.7015107437026]}",3,Brooklyn,301,33,53,18,7,Broadway with Thornton Street and Debevoise Street,Brooklyn,2025-07-18T00:00:00.000,-73.943226,40.701519,X,AREA OF MINIMAL FLOOD HAZARD,South Williamsburg,36,2,38,56,5,17213
"{'type': 'Point', 'coordinates': [-73.94226457237387, 40.701628743834924]}",3,Brooklyn,301,34,53,18,7,Graham Avenue and Debevoise Street,Brooklyn,2024-04-26T00:00:00.000,-73.942266,40.701637,X,AREA OF MINIMAL FLOOD HAZARD,East Williamsburg,36,2,30,56,5,17213
"{'type': 'Point', 'coordinates': [-73.92249658480644, 40.6098017610764]}",3,Brooklyn,318,46,59,22,8,Flatbush Avenue and Avenue U,Brooklyn,2023-08-02T00:00:00.000,-73.922498,40.60981,X,AREA OF MINIMAL FLOOD HAZARD,Marine Park-Mill Basin-Bergen Beach,5,2,8,38,2,13825
"{'type': 'Point', 'coordinates': [-73.95861756141248, 40.7999687252279]}",1,Manhattan,107,6,68,30,12,Central Park West and West 109 Street,Manhattan,2025-06-16T00:00:00.000,-73.958619,40.799977,X,AREA OF MINIMAL FLOOD HAZARD,Central Park,19,4,19,13,,
"{'type': 'Point', 'coordinates': [-73.991277555417, 40.732438738800816]}",1,Manhattan,102,2,66,27,10,Broadway and East  11 Street,Manhattan,2023-04-28T00:00:00.000,-73.991279,40.732447,X,AREA OF MINIMAL FLOOD HAZARD,Greenwich Village,57,4,50,5,,11724
"{'type': 'Point', 'coordinates': [-73.89670557593166, 40.89579770426016]}",2,Bronx,226,11,81,33,15,Broadway and West 251 Street,Bronx,2023-04-14T00:00:00.000,-73.896707,40.895806,X,AREA OF MINIMAL FLOOD HAZARD,Van Cortlandt Park,27,5,40,33,,11609
"{'type': 'Point', 'coordinates': [-73.97995855788497, 40.7431967369458]}",1,Manhattan,106,2,74,59,12,3 Avenue and East  30 Street,Manhattan,2024-09-16T00:00:00.000,-73.97996,40.743205,X,AREA OF MINIMAL FLOOD HAZARD,Murray Hill-Kips Bay,71,4,50,7,,12078
"{'type': 'Point', 'coordinates': [-73.89216357962974, 40.85276171259243]}",2,Bronx,206,15,78,32,15,3 Avenue and East 182 Street,Bronx,2024-02-07T00:00:00.000,-73.892165,40.85277,X,AREA OF MINIMAL FLOOD HAZARD,Tremont,35,5,22,31,,10935
"{'type': 'Point', 'coordinates': [-73.83688859791461, 40.84336771171165]}",2,Bronx,210,13,82,34,14,Westchester Avenue with Middletown Road and Ericson Place,Bronx,2024-04-20T00:00:00.000,-73.83689,40.843376,X,AREA OF MINIMAL FLOOD HAZARD,Hutchinson Metro Center,43,5,12,28,5,11270
"{'type': 'Point', 'coordinates': [-73.92225657950003, 40.69642974344868]}",3,Brooklyn,304,37,53,18,7,Central Avenue and Harman Street,Brooklyn,2020-09-15T00:00:00.000,-73.922258,40.696438,X,AREA OF MINIMAL FLOOD HAZARD,Bushwick (East),42,2,30,53,,18181
"{'type': 'Point', 'coordinates': [-73.88979558032621, 40.84859871329065]}",2,Bronx,206,15,79,32,15,East 180 Street and Belmont Avenue,Bronx,2026-05-19T00:00:00.000,-73.889797,40.848607,X,AREA OF MINIMAL FLOOD HAZARD,Tremont,35,5,22,31,,10935
"{'type': 'Point', 'coordinates': [-73.87531059023271, 40.763000729088624]}",4,Queens,403,21,35,13,14,Astoria Boulevard and  94 Street,Queens,2022-03-22T00:00:00.000,-73.875312,40.763009,X,AREA OF MINIMAL FLOOD HAZARD,East Elmhurst,65,3,21,73,,14511
"{'type': 'Point', 'coordinates': [-73.91137957814489, 40.769594729197]}",4,Queens,401,22,36,12,14,Astoria Boulevard N and 38 Street,Queens,2022-01-22T00:00:00.000,-73.911381,40.769603,X,AREA OF MINIMAL FLOOD HAZARD,Astoria (North)-Ditmars-Steinway,39,3,4,72,,16862
"{'type': 'Point', 'coordinates': [-73.95839957079298, 40.63630375677043]}",3,Brooklyn,314,45,42,21,9,Ocean Avenue and Foster Avenue,Brooklyn,2023-12-12T00:00:00.000,-73.958401,40.636312,X,AREA OF MINIMAL FLOOD HAZARD,Flatbush (West)-Ditmas Park-Parkville,60,2,26,43,5,13513
"{'type': 'Point', 'coordinates': [-73.96498856146563, 40.76660073159044]}",1,Manhattan,108,4,73,28,12,Lexington Avenue and East  66 Street,Manhattan,2025-01-29T00:00:00.000,-73.96499,40.766609,X,AREA OF MINIMAL FLOOD HAZARD,Upper East Side-Carnegie Hill,23,4,51,11,,10090
"{'type': 'Point', 'coordinates': [-73.83905960647539, 40.6862287431497]}",4,Queens,409,29,23,15,5,101 Avenue and 104 Street,Queens,2022-06-22T00:00:00.000,-73.839061,40.686237,X,AREA OF MINIMAL FLOOD HAZARD,Ozone Park (North),46,3,46,60,,24012
"{'type': 'Point', 'coordinates': [-73.86471558703907, 40.876825706407494]}",2,Bronx,212,12,83,36,15,East Gun Hill Road with Holland Avenue and Tilden Street,Bronx,2020-01-09T00:00:00.000,-73.864717,40.876834,X,AREA OF MINIMAL FLOOD HAZARD,Williamsbridge-Olinville,29,5,2,30,,11605
"{'type': 'Point', 'coordinates': [-73.98208655476714, 40.777900730035604]}",1,Manhattan,107,6,67,47,12,Amsterdam Avenue and Broadway  / West 71 Street,Manhattan,2023-06-06T00:00:00.000,-73.982088,40.777909,X,AREA OF MINIMAL FLOOD HAZARD,Upper West Side-Lincoln Square,20,4,19,12,,12420
"{'type': 'Point', 'coordinates': [-74.20624749968907, 40.514405789768034]}",5,Staten Island,503,51,62,24,11,Hylan Boulevard and Woodvale Avenue,Staten Island,2025-06-19T00:00:00.000,-74.206249,40.514414,X,AREA OF MINIMAL FLOOD HAZARD,Annadale-Huguenot-Prince's Bay-Woodrow,15,1,9,77,5,10696
"{'type': 'Point', 'coordinates': [-73.94098756761592, 40.796616724699824]}",1,Manhattan,111,8,68,29,13,3 Avenue midblock at East 114 Street,Manhattan,2017-01-30T00:00:00.000,-73.940989,40.796625,X,AREA OF MINIMAL FLOOD HAZARD,East Harlem (North),7,4,35,14,3,12426
"{'type': 'Point', 'coordinates': [-73.89592058525068, 40.73763673523398]}",4,Queens,402,26,30,12,6,49 Avenue and  69 Street,Queens,2020-10-23T00:00:00.000,-73.895922,40.737645,X,AREA OF MINIMAL FLOOD HAZARD,Woodside,53,3,34,66,,14787
"{'type': 'Point', 'coordinates': [-73.88996458029175, 40.846784713110424]}",2,Bronx,206,15,79,32,15,Crotona Avenue and East 179 Street,Bronx,2024-06-12T00:00:00.000,-73.889966,40.846793,X,AREA OF MINIMAL FLOOD HAZARD,Tremont,35,5,43,31,,10935
"{'type': 'Point', 'coordinates': [-73.92970057741987, 40.69385374477561]}",3,Brooklyn,303,36,56,25,8,Broadway and DeKalb Avenue,Brooklyn,2025-12-12T00:00:00.000,-73.929702,40.693862,X,AREA OF MINIMAL FLOOD HAZARD,Bedford-Stuyvesant (East),69,2,49,52,,18181
"{'type': 'Point', 'coordinates': [-73.82676059934045, 40.87894170482296]}",2,Bronx,210,12,82,36,16,Co-op City Boulevard and Carver Loop West,Bronx,2015-10-12T00:00:00.000,-73.826762,40.87895,X,AREA OF MINIMAL FLOOD HAZARD,Co-op City,43,5,2,28,4,12344
"{'type': 'Point', 'coordinates': [-73.94402256908057, 40.746467735225686]}",4,Queens,402,26,37,59,7,Jackson Avenue with Court Square and 45 Avenue,Queens,2022-11-15T00:00:00.000,-73.944024,40.746476,X,AREA OF MINIMAL FLOOD HAZARD,Long Island City-Hunters Point,53,3,33,66,2,16858
"{'type': 'Point', 'coordinates': [-73.93452057270174, 40.74483973467175]}",4,Queens,402,26,37,12,7,Thomson Avenue between 31 Street and Van Dam Street,Queens,2020-05-27T00:00:00.000,-73.934522,40.744848,X,AREA OF MINIMAL FLOOD HAZARD,Sunnyside,53,3,33,66,4,16858
"{'type': 'Point', 'coordinates': [-73.93920757956242, 40.60547176212205]}",3,Brooklyn,315,46,41,22,8,Gerritsen Avenue and Avenue S (North Leg),Brooklyn,2021-05-24T00:00:00.000,-73.939209,40.60548,X,AREA OF MINIMAL FLOOD HAZARD,Madison,32,2,8,36,4,13512
"{'type': 'Point', 'coordinates': [-73.84590359196534, 40.88973270299766]}",2,Bronx,212,12,83,36,16,East 233 Street and Laconia Avenue,Bronx,2025-01-07T00:00:00.000,-73.845905,40.889741,X,AREA OF MINIMAL FLOOD HAZARD,Eastchester-Edenwald-Baychester,29,5,2,30,,11275
"{'type': 'Point', 'coordinates': [-73.84314459317639, 40.885021704107814]}",2,Bronx,212,12,83,36,16,Schieffelin Avenue and East 229 Street,Bronx,2025-08-19T00:00:00.000,-73.843146,40.88503,X,AREA OF MINIMAL FLOOD HAZARD,Eastchester-Edenwald-Baychester,29,5,2,30,,11275
"{'type': 'Point', 'coordinates': [-73.76974162495567, 40.750692727516714]}",4,Queens,411,23,25,16,6,53 Avenue and Oceania Street,Queens,2023-07-07T00:00:00.000,-73.769743,40.750701,X,AREA OF MINIMAL FLOOD HAZARD,Bayside,26,3,16,69,,14506
"{'type': 'Point', 'coordinates': [-73.76845662519015, 40.76037572631446]}",4,Queens,411,19,25,16,6,Northern Boulevard and 214 Place,Queens,2024-09-12T00:00:00.000,-73.768458,40.760384,X,AREA OF MINIMAL FLOOD HAZARD,Bayside,26,3,20,69,,14196
"{'type': 'Point', 'coordinates': [-73.99156356428209, 40.578226769859405]}",3,Brooklyn,313,47,46,23,8,Neptune Avenue and West 24 Street,Brooklyn,2022-09-26T00:00:00.000,-73.991565,40.578235,AE,,Coney Island-Sea Gate,21,2,45,35,1,18184
"{'type': 'Point', 'coordinates': [-73.86857558937317, 40.82061571789397]}",2,Bronx,209,18,85,34,14,Lafayette Avenue and Croes Avenue,Bronx,2023-11-29T00:00:00.000,-73.868577,40.820624,X,AREA OF MINIMAL FLOOD HAZARD,Soundview-Clason Point,58,5,31,26,5,11611
"{'type': 'Point', 'coordinates': [-73.90552857645996, 40.82909471698119]}",2,Bronx,203,17,79,32,15,Fulton Avenue and East 167 Street,Bronx,2024-02-21T00:00:00.000,-73.90553,40.829103,X,AREA OF MINIMAL FLOOD HAZARD,Morrisania,34,5,42,25,,10934
"{'type': 'Point', 'coordinates': [-73.85334059833917, 40.74018473248197]}",4,Queens,404,21,35,13,6,108 Street and Van Doren Street,Queens,2019-03-26T00:00:00.000,-73.853342,40.740193,X,AREA OF MINIMAL FLOOD HAZARD,Corona,66,3,21,68,,14510
"{'type': 'Point', 'coordinates': [-73.97368456343219, 40.67706874966063]}",3,Brooklyn,306,39,52,20,10,7 Avenue and Sterling Place,Brooklyn,2022-05-27T00:00:00.000,-73.973686,40.677077,X,AREA OF MINIMAL FLOOD HAZARD,Park Slope,14,2,27,50,,17619
"{'type': 'Point', 'coordinates': [-73.93917557741898, 40.63453275630256]}",3,Brooklyn,317,45,58,21,9,Glenwood Road and East  39 Street,Brooklyn,2020-07-11T00:00:00.000,-73.939177,40.634541,X,AREA OF MINIMAL FLOOD HAZARD,East Flatbush-Farragut,61,2,26,40,6,17217
"{'type': 'Point', 'coordinates': [-73.91073958452016, 40.66967574864208]}",3,Brooklyn,316,41,55,25,8,Rockaway Avenue and Pitkin Avenue,Brooklyn,2023-06-16T00:00:00.000,-73.910741,40.669684,X,AREA OF MINIMAL FLOOD HAZARD,Brownsville,55,2,17,46,,17614
"{'type': 'Point', 'coordinates': [-73.88387458901448, 40.743389732991986]}",4,Queens,404,25,30,13,6,Broadway with Pettit Avenue and 81 Street,Queens,2022-08-19T00:00:00.000,-73.883876,40.743398,X,AREA OF MINIMAL FLOOD HAZARD,Elmhurst,66,3,5,68,,14784
"{'type': 'Point', 'coordinates': [-73.96795956577488, 40.6837177476529]}",3,Brooklyn,302,35,57,25,8,Fulton Street and Vanderbilt Avenue,Brooklyn,2022-02-09T00:00:00.000,-73.967961,40.683726,X,AREA OF MINIMAL FLOOD HAZARD,Clinton Hill,68,2,48,55,,13829
"{'type': 'Point', 'coordinates': [-73.8333496032883, 40.764075727478456]}",4,Queens,407,20,40,16,6,35 Avenue and Prince Street,Queens,2025-07-03T00:00:00.000,-73.833351,40.764084,X,AREA OF MINIMAL FLOOD HAZARD,Flushing-Willets Point,22,3,3,67,5,13832
"{'type': 'Point', 'coordinates': [-73.94544857090081, 40.702752743715145]}",3,Brooklyn,301,33,53,18,7,Broadway and Gerry Street,Brooklyn,2025-07-25T00:00:00.000,-73.94545,40.702761,X,AREA OF MINIMAL FLOOD HAZARD,South Williamsburg,36,2,38,56,4,17213
"{'type': 'Point', 'coordinates': [-73.99191956277362, 40.5980247659645]}",3,Brooklyn,311,43,47,17,11,Benson Avenue and Bay  35 Street,Brooklyn,2024-01-29T00:00:00.000,-73.991921,40.598033,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Gravesend (West),1,2,45,37,2,17616
"{'type': 'Point', 'coordinates': [-73.97546055780933, 40.776890729834314]}",1,Manhattan,107,6,67,28,12,Central Park West and West  73 Street,Manhattan,2024-08-23T00:00:00.000,-73.975462,40.776899,X,AREA OF MINIMAL FLOOD HAZARD,Central Park,19,4,19,13,,
"{'type': 'Point', 'coordinates': [-73.79293861831184, 40.7388577307953]}",4,Queens,408,24,25,16,6,Long Island Expressway South S/R and Utopia Parkway,Queens,2025-05-16T00:00:00.000,-73.79294,40.738866,X,AREA OF MINIMAL FLOOD HAZARD,Fresh Meadows-Utopia,25,3,24,65,,14507
"{'type': 'Point', 'coordinates': [-73.83087060429895, 40.767979726336286]}",4,Queens,407,20,40,16,6,32 Avenue and 137 Street,Queens,2023-10-11T00:00:00.000,-73.830872,40.767988,AE,,Flushing-Willets Point,22,3,3,67,3,13832
"{'type': 'Point', 'coordinates': [-73.7961506257788, 40.59284075989084]}",4,Queens,414,31,31,10,5,Beach Channel Drive and Beach  67 Street,Queens,2025-07-25T00:00:00.000,-73.796152,40.592849,AE,,Rockaway Beach-Arverne-Edgemere,51,3,47,58,1,20530
"{'type': 'Point', 'coordinates': [-73.99340055507466, 40.71534774223949]}",1,Manhattan,103,1,65,27,10,Canal Street and Eldridge Street,Manhattan,2023-04-10T00:00:00.000,-73.993402,40.715356,X,AREA OF MINIMAL FLOOD HAZARD,Chinatown-Two Bridges,70,4,32,2,,11723
"{'type': 'Point', 'coordinates': [-74.19474550026544, 40.55598978078892]}",5,Staten Island,503,51,62,24,11,Arden Avenue and Forest Green,Staten Island,2022-05-16T00:00:00.000,-74.194747,40.555998,X,AREA OF MINIMAL FLOOD HAZARD,Arden Heights-Rossville,15,1,9,77,,10699
"{'type': 'Point', 'coordinates': [-73.88458022042036, 40.82140933642403]}",2,Bronx,202,17,85,29,14,Edgewater Road midblock at Garrison Avenue,Bronx,2022-02-01T00:00:00.000,-73.8845816368,40.8214176179,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,Hunts Point,8,5,43,24,2,12343
"{'type': 'Point', 'coordinates': [-73.869150592389, 40.76100672961438]}",4,Queens,403,21,35,13,14,31 Avenue and 100 Street,Queens,2020-10-15T00:00:00.000,-73.869152,40.761015,X,AREA OF MINIMAL FLOOD HAZARD,East Elmhurst,65,3,21,73,,14511
"{'type': 'Point', 'coordinates': [-73.8316705976934, 40.8687847068642]}",2,Bronx,210,12,82,36,16,Bartow Avenue and Baychester Avenue,Bronx,2019-11-22T00:00:00.000,-73.831672,40.868793,X,AREA OF MINIMAL FLOOD HAZARD,Co-op City,43,5,2,28,4,12344
"{'type': 'Point', 'coordinates': [-73.83500759862936, 40.83809771331663]}",2,Bronx,210,13,82,34,14,East Tremont Avenue and Coddington Avenue,Bronx,2022-06-18T00:00:00.000,-73.835009,40.838106,X,AREA OF MINIMAL FLOOD HAZARD,Throgs Neck-Schuylerville,43,5,12,28,,11270
"{'type': 'Point', 'coordinates': [-73.86543159882403, 40.66552574832586]}",3,Brooklyn,305,42,60,19,8,Stanley Avenue and Autumn Avenue,Brooklyn,2023-01-11T00:00:00.000,-73.865433,40.665534,X,AREA OF MINIMAL FLOOD HAZARD,East New York-City Line,45,2,25,47,3,17215
"{'type': 'Point', 'coordinates': [-73.99831255072986, 40.760814733618965]}",1,Manhattan,104,3,75,47,12,11 Avenue and West  42 Street,Manhattan,2022-08-10T00:00:00.000,-73.998314,40.760823,X,AREA OF MINIMAL FLOOD HAZARD,Chelsea-Hudson Yards,12,4,10,6,4,13094
"{'type': 'Point', 'coordinates': [-73.89379258486156, 40.74768173281281]}",4,Queens,403,25,30,12,6,Broadway and  72 Street,Queens,2024-02-26T00:00:00.000,-73.893794,40.74769,X,AREA OF MINIMAL FLOOD HAZARD,Elmhurst,65,3,5,73,,14783
"{'type': 'Point', 'coordinates': [-73.872389593968, 40.71782173767716]}",4,Queens,405,30,28,15,6,Dry Harbor Road with Furmanville Avenue and 80 Street,Queens,2024-03-05T00:00:00.000,-73.872391,40.71783,X,AREA OF MINIMAL FLOOD HAZARD,St. John Cemetery,54,3,34,62,,15309
"{'type': 'Point', 'coordinates': [-73.96798255862713, 40.80050472490976]}",1,Manhattan,107,7,69,30,13,Broadway and West 105 Street,Manhattan,2022-09-14T00:00:00.000,-73.967984,40.800513,X,AREA OF MINIMAL FLOOD HAZARD,Upper West Side-Manhattan Valley,20,4,19,15,,12422
"{'type': 'Point', 'coordinates': [-73.90454353085629, 40.839489679680256]}",2,Bronx,203,16,79,32,15,Claremont Parkway and Brook Avenue,Bronx,2024-11-15T00:00:00.000,-73.9045449548,40.8394979645,X,AREA OF MINIMAL FLOOD HAZARD,Claremont Village-Claremont (East),34,5,42,25,6,10935
"{'type': 'Point', 'coordinates': [-73.82464661217057, 40.677561744475454]}",4,Queens,410,28,31,15,5,Linden Boulevard and 114 Street,Queens,2024-05-02T00:00:00.000,-73.824648,40.67757,X,AREA OF MINIMAL FLOOD HAZARD,South Ozone Park,62,3,46,64,,24016
"{'type': 'Point', 'coordinates': [-74.09963697425941, 40.58837987703614]}",5,Staten Island,502,50,64,23,11,Buel Avenue and Jefferson Street,Staten Island,2025-06-10T00:00:00.000,-74.0996384454,40.5883881056,X,AREA OF MINIMAL FLOOD HAZARD,Grasmere-Arrochar-South Beach-Dongan Hills,30,1,14,76,6,10691
"{'type': 'Point', 'coordinates': [-73.85323659282724, 40.836234713999076]}",2,Bronx,209,18,87,34,14,Purdy Street and Starling Avenue,Bronx,2022-12-08T00:00:00.000,-73.853238,40.836243,X,AREA OF MINIMAL FLOOD HAZARD,Parkchester,58,5,31,26,6,11271
